Manager,Owner,Market,Submarket,Property Name,Address,City,State,ZIP,Units,Manage v. OWN and manage
Greystar Management,Tower 16 Capital Partners,Albuquerque,,Tesota Four Hills,301 Western Skies Drive SE,Albuquerque,NM,87123,288,MANAGE
Greystar Management,Texas Capital Partners,Albuquerque,1 - Albuquerque - Central,Union 505,801 Locust Place NE,Albuquerque,NM,87102,572,MANAGE
Greystar Management,Titan Development,Albuquerque,2 - Albuquerque - North Valley,Allaso Journal Center,7800 Headline Blvd NE,Albuquerque,NM,87109,158,MANAGE
Greystar Management,Titan Development,Albuquerque,2 - Albuquerque - North Valley,"Senary by Allaso, The",7501 Jefferson Street NE,Albuquerque,NM,87109,209,MANAGE
Greystar Management,TriWest Development,Albuquerque,2 - Albuquerque - North Valley,Valley,1812 Indian School Road NW,Albuquerque,NM,87104,140,MANAGE
Greystar Management,"Ginzburg, Allen & Shirley",Albuquerque,3 - Albuquerque - Montgomery,Desert Creek,4300 Pan American Freeway NE,Albuquerque,NM,87107,241,MANAGE
Greystar Management,TriWest Development,Albuquerque,3 - Albuquerque - Montgomery,Sun Plaza,4400 Montgomery Blvd NE,Albuquerque,NM,87109,152,MANAGE
Greystar Management,Tower 16 Capital Partners,Albuquerque,3 - Albuquerque - Montgomery,Tesota Morningside,3958 Montgomery Blvd NE,Albuquerque,NM,87109,160,MANAGE
Greystar Management,Titan Development,Albuquerque,4 - Albuquerque - University,Broadstone Nob Hill,4101 Central Avenue NE,Albuquerque,NM,87108,102,MANAGE
Greystar Management,Benedict Canyon Equities,Albuquerque,4 - Albuquerque - University,Glo,3901 Indian School Road NE,Albuquerque,NM,87110,196,MANAGE
Greystar Management,Diamond Equity Ventures,Albuquerque,5 - Albuquerque - South,Diamond Elite Luxury Homes,3003 Transport Street SE,Albuquerque,NM,87106,162,MANAGE
Greystar Management,DiNapoli Capital Partners,Albuquerque,5 - Albuquerque - South,Encanto at Mesa Del Sol,2500 Bobby Foster Road SE,Albuquerque,NM,87106,318,MANAGE
Greystar Management,MLG Capital,Albuquerque,6 - Albuquerque - South Valley,Diamond Mesa,2300 Diamond Mesa Trail SW,Albuquerque,NM,87121,456,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,7 - Albuquerque - Westside,Aydan,6000 Montano Plaza Drive,Albuquerque,NM,87120,344,MANAGE
Greystar Management,LaTerra Development,Albuquerque,7 - Albuquerque - Westside,"Charlie ABQ, The",7682 Woodmont Avenue,Albuquerque,NM,87114,344,MANAGE
Greystar Management,Greystar,Albuquerque,7 - Albuquerque - Westside,Overture Andalucia,5301 Antequera Road,Albuquerque,NM,87120,171,MANAGE
Greystar Management,Continental Realty Group,Albuquerque,7 - Albuquerque - Westside,Stride West,6101 Sequoia Road NW,Albuquerque,NM,87120,280,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,8 - Albuquerque - Paradise Hills,"Aubry, The",9180 Coors Blvd NW,Albuquerque,NM,87120,356,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,8 - Albuquerque - Paradise Hills,Cantata at the Trails,6700 Cantata Street NW,Albuquerque,NM,87114,260,MANAGE
Greystar Management,TMR Investments,Albuquerque,8 - Albuquerque - Paradise Hills,Circ,10300 Golf Course Road NW,Albuquerque,NM,87114,264,MANAGE
Greystar Management,Ilan Investments,Albuquerque,8 - Albuquerque - Paradise Hills,Entrada Pointe,900 Country Club Drive SE,Rio Rancho,NM,87124,209,MANAGE
